Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;8;8;12;0;5;1;243942.0589;83;117204;100614;0;0;1549861;0;0;114869;81223;19336;99721;2;14;1;7.4941000000108;83;5;5;11;2;14;
;8;8;12;0;6;1;8720.14519999991;63;7017;6769;0;0;177239;0;0;7005;4499;1549;6753;1;10;1;8.95260000007693;63;8;13;20;1;10;
;8;8;12;0;7;1;61.3305999999866;63;156;609;0;0;709;0;0;147;72;152;156;0;9;1;1.18579999997746;63;1;1;5;0;9;
;8;8;12;0;8;1;1281.04409999994;49;2042;1785;0;0;17260;0;0;1991;1659;61;1775;2;9;1;2.15170000004582;49;3;3;9;2;9;
;8;8;12;0;9;1;213.928500000038;63;516;1048;0;0;2463;0;0;397;263;304;516;0;9;1;1.437099999981;63;1;1;6;0;9;
;8;8;14;0;0;1;23283.0567;61;11783;10669;0;0;127349;0;0;11572;6993;3154;10630;2;11;1;6.0855000000447;61;7;8;13;2;11;
;8;8;14;0;1;1;33218.0864;85;27162;23125;0;0;452953;0;0;27141;15006;5046;23030;1;13;1;5.33929999999236;85;4;5;12;1;13;
;8;8;14;0;2;1;545.794600000023;70;791;782;0;0;6632;0;0;749;507;82;778;1;12;1;7.05370000004768;70;7;9;16;1;13;
;8;8;14;0;3;0;300004.8474;-2;86262;80421;0;0;1922447;0;0;86260;54938;23178;80421;1;-1;1;49.3253000000259;78;32;42;54;3;11;
;8;8;14;0;4;1;95.8783000000985;61;12;412;0;0;0;0;0;1;9;10;10;2;11;1;2.93050000001676;61;3;5;14;2;11;
;8;8;14;0;5;1;59.3307999999961;51;49;522;0;0;15;0;0;24;37;52;49;0;8;1;1.24060000001919;51;1;1;6;0;8;
;8;8;14;0;6;1;2627.24800000002;78;1293;1295;0;0;8504;0;0;1123;376;150;1270;1;12;1;6.5962999999756;78;4;8;17;1;12;
