sep=;
Instance; Models; Optimum; 1stOptimization; Calls; 1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time; Threads; MIN-Timestep;Min-SUMTIME; 1stSOL-COST;Optimization;Time(Total); Time(Solving);Time(Unsat); CPU Time; SOL-COST
Instance-10-20-6-52;1,0;1,0;1,0;1,0;0,20893287658691406;0,008998870849609375;0,00099945068359375;0,203125;4,0;12;48;49,0;1,0;0,07998085021972656;0,008998870849609375;0,0010013580322265625;0,109375;49,0
Instance-10-20-6-53;1,0;1,0;0,0;1,0;0,22992515563964844;0,007997512817382812;0,0019969940185546875;0,265625;4,0;13;44;44,0;0,0;0,04198646545410156;0,0059986114501953125;0,00099945068359375;0,03125;44,0
Instance-10-20-6-54;1,0;1,0;0,0;1,0;0,12296104431152344;0,004001617431640625;0,00099945068359375;0,109375;4,0;10;43;43,0;0,0;0,028993606567382812;0,003002166748046875;0,00099945068359375;0,03125;43,0
Instance-10-20-6-55;1,0;1,0;2,0;1,0;0,24192237854003906;0,014995574951171875;0,0019989013671875;0,296875;4,0;13;39;41,0;2,0;0,13623046875;0,018995285034179688;0,00099945068359375;0,1875;41,0
Instance-10-20-6-56;1,0;1,0;0,0;1,0;0,16580963134765625;0,005001068115234375;0,00099945068359375;0,21875;4,0;11;52;52,0;0,0;0,03698921203613281;0,0049991607666015625;0,00099945068359375;0,03125;52,0
Instance-10-20-6-57;1,0;1,0;0,0;1,0;0,16394805908203125;0,0059986114501953125;0,00099945068359375;0,1875;4,0;11;40;40,0;0,0;0,035991668701171875;0,005001068115234375;0,0010013580322265625;0,03125;40,0
Instance-10-20-6-58;1,0;1,0;2,0;1,0;0,1632213592529297;0,00799560546875;0,0009975433349609375;0,15625;4,0;11;37;39,0;2,0;0,11596298217773438;0,014995574951171875;0,00099945068359375;0,171875;39,0
Instance-10-20-6-59;1,0;1,0;8,0;5,0;0,3378887176513672;0,30389976501464844;0,00299835205078125;1,125;4,0;10;40;48,0;8,0;6,004594802856445;5,8196563720703125;0,01299285888671875;19,09375;48,0
Instance-10-20-6-6;1,0;1,0;4,0;1,0;0,33688926696777344;0,024991989135742188;0,0029964447021484375;0,390625;4,0;15;39;43,0;4,0;0,2929058074951172;0,08197212219238281;0,0049953460693359375;0,5;43,0
Instance-10-20-6-60;1,0;1,0;4,0;1,0;0,15195465087890625;0,019994735717773438;0,00299835205078125;0,1875;4,0;10;43;47,0;4,0;0,2719097137451172;0,09196853637695312;0,0039958953857421875;0,484375;47,0
Instance-10-20-6-61;1,0;1,0;3,0;1,0;0,24592018127441406;0,012996673583984375;0,0009975433349609375;0,265625;4,0;13;38;41,0;3,0;0,17594337463378906;0,024991989135742188;0,0019969940185546875;0,203125;41,0
