sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
brc202d-40-2;1;45.858983755111694;135.81853675842285;5132;38;8
brc202d-40-3;1;77.45963287353516;222.13826990127563;6405;64;8
brc202d-40-4;1;57.52715587615967;167.60512948036194;4619;47;8
brc202d-40-5;1;55.11995244026184;161.554105758667;5887;45;8
brc202d-40-6;1;44.02558517456055;125.844801902771;4521;36;8
brc202d-40-7;1;36.6370005607605;105.6564073562622;5029;30;8
brc202d-40-8;1;81.7032368183136;231.31227111816406;5195;66;8
brc202d-40-9;1;63.20630598068237;185.48027729988098;5404;52;8
brc202d-50-0;1;67.2769706249237;185.96411871910095;6809;51;8
brc202d-50-1;1;79.81486129760742;218.12258529663086;6383;59;8
brc202d-50-2;1;57.27324080467224;159.92663836479187;6691;43;8
brc202d-50-3;1;63.72713255882263;172.6153130531311;6925;43;8
brc202d-50-4;1;75.25403618812561;199.76934242248535;5405;47;8
brc202d-50-5;1;94.29941010475159;252.62216305732727;7022;62;8
brc202d-50-6;1;104.26814007759094;282.12462067604065;7027;70;8
brc202d-50-7;1;67.1565523147583;180.20775270462036;6343;45;8
brc202d-50-8;1;56.92568278312683;152.81042218208313;6533;38;8
brc202d-50-9;1;62.458728313446045;168.30310559272766;7226;41;8
brc202d-60-0;1;67.07411456108093;174.03829503059387;7495;41;8
brc202d-60-1;1;71.97343754768372;184.3124589920044;7857;41;8
brc202d-60-2;1;93.01858162879944;238.73345685005188;7352;54;8
brc202d-60-3;1;57.05232000350952;150.45374011993408;6901;37;8
brc202d-60-4;1;93.43440794944763;243.03542828559875;7334;58;8
brc202d-60-5;1;91.62468385696411;237.65571975708008;7526;52;8
brc202d-60-6;1;92.85350608825684;237.8066017627716;7859;53;8
brc202d-60-7;1;73.90352845191956;189.73727941513062;7348;40;8
brc202d-60-8;1;81.0054726600647;212.88030099868774;7761;53;8
brc202d-60-9;1;79.42399287223816;207.25814294815063;7620;50;8
brc202d-70-0;1;76.19804644584656;196.98450589179993;8617;46;8
brc202d-70-1;1;88.52201271057129;226.64879488945007;7727;54;8
brc202d-70-2;1;73.10805940628052;190.0317828655243;8538;44;8
brc202d-70-3;1;84.58130526542664;217.85767126083374;8627;52;8
brc202d-70-4;1;83.89952754974365;216.10924434661865;8705;51;8
brc202d-70-5;1;98.51174402236938;252.80822920799255;9216;59;8
brc202d-70-6;1;88.3200752735138;225.93002915382385;8552;53;8
brc202d-70-7;1;64.43389749526978;166.56946349143982;9117;39;8
brc202d-70-8;1;67.29595875740051;171.98169660568237;8255;40;8
brc202d-70-9;1;65.77945804595947;169.84839057922363;8438;40;8
brc202d-80-0;1;104.55475997924805;263.29179668426514;9681;58;8
brc202d-80-1;1;84.36537885665894;211.62871170043945;9562;47;8
brc202d-80-2;1;78.93815183639526;202.00186729431152;10016;44;8
brc202d-80-3;1;79.11809396743774;200.75827026367188;10970;44;8
brc202d-80-4;1;88.93887782096863;224.1865997314453;10024;50;8
brc202d-80-5;1;86.31473159790039;219.6031002998352;9175;49;8
brc202d-80-6;1;121.42825102806091;305.79488587379456;10877;69;8
brc202d-80-7;1;74.77451300621033;189.50495433807373;9813;42;8
brc202d-80-8;1;83.37269759178162;210.4211061000824;9642;47;8
brc202d-80-9;1;112.56013917922974;281.4588575363159;10667;63;8
brc202d-90-0;1;80.09677243232727;200.79625725746155;11067;42;8
brc202d-90-1;1;101.59873223304749;250.68092513084412;11981;53;8
brc202d-90-2;1;129.5435802936554;317.97189354896545;11154;67;8
brc202d-90-3;1;81.53630232810974;202.83459043502808;11576;42;8
brc202d-90-4;1;94.5940318107605;235.51589059829712;11559;50;8
brc202d-90-5;1;126.41960215568542;310.1544532775879;11379;65;8
brc202d-90-6;1;84.34337973594666;209.87328624725342;11257;44;8
brc202d-90-7;1;104.80268049240112;259.5070357322693;11505;55;8
brc202d-90-8;1;114.42999053001404;279.27448868751526;11279;49;8
brc202d-90-9;1;122.56026935577393;299.11804819107056;12068;50;8
