sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
ost003d-60-6;1;16.96843695640564;37.93258047103882;6753;63;4
ost003d-60-7;1;21.018110513687134;46.643728256225586;7286;79;4
ost003d-60-8;1;24.470979690551758;54.35620379447937;6941;93;4
ost003d-60-9;1;21.748873472213745;48.16023254394531;6484;82;4
ost003d-70-0;1;23.63625407218933;51.918002128601074;8154;82;4
ost003d-70-1;1;24.456985235214233;53.785390853881836;8408;85;4
ost003d-70-2;1;24.478977918624878;53.904351234436035;7637;86;4
ost003d-70-3;1;26.55629563331604;58.32090616226196;8684;93;4
ost003d-70-4;1;24.18607497215271;53.19458341598511;8066;85;4
ost003d-70-5;1;23.10443091392517;50.69540238380432;7707;80;4
ost003d-70-6;1;24.184072017669678;53.18958568572998;6941;84;4
ost003d-70-7;1;27.699919939041138;60.79009699821472;8616;96;4
ost003d-70-8;1;24.375006675720215;53.273557901382446;7817;85;4
ost003d-70-9;1;24.59993863105774;54.19825553894043;8486;86;4
ost003d-80-0;1;23.95615291595459;51.94799256324768;8906;78;4
ost003d-80-1;1;21.78986144065857;47.91831135749817;7707;71;4
ost003d-80-2;1;27.882867097854614;60.22028374671936;8885;90;4
ost003d-80-3;1;24.859856843948364;54.454171657562256;8797;81;4
ost003d-80-4;1;29.033479928970337;63.01436948776245;9823;94;4
ost003d-80-5;1;22.09275984764099;48.15023636817932;8795;72;4
ost003d-80-6;1;23.126425743103027;50.345521211624146;8945;75;4
ost003d-80-7;1;29.844223737716675;65.01771283149719;9303;97;4
ost003d-80-8;1;26.83920383453369;58.06498861312866;9566;87;4
ost003d-80-9;1;26.972167491912842;59.092652797698975;7977;88;4
ost003d-90-0;1;27.345041036605835;59.727444887161255;9198;84;4
ost003d-90-1;1;29.875210762023926;64.52687358856201;9445;91;4
ost003d-90-2;1;28.423688650131226;61.49186730384827;10370;87;4
ost003d-90-3;1;29.091461420059204;62.49054002761841;9336;88;4
ost003d-90-4;1;21.970804929733276;47.33250331878662;10057;66;4
ost003d-90-5;1;25.180745124816895;53.9343421459198;9402;76;4
ost003d-90-6;1;27.770896196365356;60.06633424758911;10018;85;4
ost003d-90-7;1;26.457327842712402;57.216267347335815;9624;81;4
ost003d-90-8;1;32.98718738555908;70.92977714538574;9724;101;4
ost003d-90-9;1;25.265722274780273;54.606121301651;9654;77;4
ost003d-100-0;1;30.351051568984985;64.8887550830841;10505;87;4
ost003d-100-1;1;22.384663105010986;47.906315326690674;9992;64;4
ost003d-100-2;1;26.320369720458984;56.345552921295166;11287;75;4
ost003d-100-3;1;32.14646625518799;69.35629272460938;11680;93;4
ost003d-100-4;1;24.042123317718506;52.03596305847168;10617;70;4
ost003d-100-5;1;33.636982679367065;71.33764362335205;11131;94;4
ost003d-100-6;1;28.714588403701782;62.40960073471069;11607;82;4
ost003d-100-7;1;28.741578340530396;61.44488167762756;11149;82;4
ost003d-100-8;1;27.901855945587158;60.017351150512695;10955;81;4
ost003d-100-9;1;26.554301500320435;56.70743417739868;9811;76;4
ost003d-110-0;1;32.38838601112366;69.0653886795044;11092;88;4
ost003d-110-1;1;31.463687419891357;66.73914933204651;11540;85;4
ost003d-110-2;1;29.471338510513306;63.2252995967865;12432;81;4
ost003d-110-3;1;34.50469398498535;74.6765501499176;13351;95;4
ost003d-110-4;1;30.844886779785156;65.87643194198608;12029;84;4
ost003d-110-5;1;33.52401304244995;71.76350450515747;11321;91;4
ost003d-110-6;1;32.73727536201477;69.53623366355896;11984;88;4
ost003d-110-7;1;30.516996383666992;66.09635925292969;12194;84;4
ost003d-110-8;1;30.699942588806152;65.40758562088013;12548;83;4
ost003d-110-9;1;34.700629472732544;73.9627845287323;13229;93;4
ost003d-120-0;1;35.79826903343201;76.20804977416992;13691;91;4
ost003d-120-1;1;28.28873372077942;60.9570426940918;13604;73;4
ost003d-120-2;1;36.68298006057739;77.70255994796753;13032;95;4
ost003d-120-3;1;34.44171476364136;73.14505219459534;12064;89;4
ost003d-120-4;1;31.760591983795166;67.39593434333801;14005;81;4
ost003d-120-5;1;33.153141021728516;70.30498123168945;14169;85;4
ost003d-120-6;1;34.23178791999817;72.34631752967834;12757;88;4
ost003d-120-7;1;33.830915451049805;71.47359943389893;12326;87;4
ost003d-120-8;1;32.94520139694214;69.71617436408997;12862;84;4
ost003d-120-9;1;31.81857204437256;67.71283030509949;12565;82;4
