sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...tances\Grid10_2\Instance-10-20-6-89.lp;4;yes;0;1;0,832;0,05;0,01;0,00;0,813;
...stances\Grid10_2\Instance-10-20-6-9.lp;2;yes;4;1;15,480;14,70;0,02;13,35;15,406;
...tances\Grid10_2\Instance-10-20-6-90.lp;1;yes;6;1;1,843;1,06;0,03;1,03;1,844;
...tances\Grid10_2\Instance-10-20-6-91.lp;1;yes;0;1;0,845;0,02;0,02;0,00;0,781;
...tances\Grid10_2\Instance-10-20-6-92.lp;2;yes;2;1;0,825;0,04;0,01;0,03;0,813;
...tances\Grid10_2\Instance-10-20-6-93.lp;9;yes;2;1;0,792;0,04;0,01;0,02;0,797;
...tances\Grid10_2\Instance-10-20-6-94.lp;2;yes;2;1;0,883;0,07;0,02;0,04;0,828;
...tances\Grid10_2\Instance-10-20-6-95.lp;1;yes;0;1;0,830;0,02;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-96.lp;2;yes;0;1;0,842;0,04;0,02;0,00;0,844;
...tances\Grid10_2\Instance-10-20-6-97.lp;1;yes;0;1;0,810;0,02;0,02;0,00;0,797;
...tances\Grid10_2\Instance-10-20-6-98.lp;2;yes;0;1;0,839;0,05;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-99.lp;2;yes;0;1;0,851;0,05;0,02;0,00;0,844;
