sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...tances\Grid10_2\Instance-10-20-6-78.lp;6;yes;3;1;1,721;0,85;0,03;0,01;3,688;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-79.lp;1;yes;0;1;0,895;0,03;0,03;0,00;0,922;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-8.lp;2;yes;0;1;0,895;0,03;0,03;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-80.lp;1;yes;0;1;0,935;0,03;0,03;0,00;1,000;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-81.lp;1;yes;0;1;0,934;0,04;0,04;0,00;0,953;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-82.lp;3;yes;1;1;0,944;0,07;0,04;0,01;1,109;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-83.lp;11;yes;5;1;2,072;1,22;0,04;0,01;4,625;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-84.lp;4;yes;0;1;0,862;0,03;0,03;0,00;0,891;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-85.lp;2;yes;0;1;0,938;0,03;0,03;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-86.lp;1;yes;0;1;0,914;0,03;0,03;0,00;1,000;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-87.lp;4;yes;2;1;0,970;0,08;0,03;0,03;1,063;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-88.lp;3;yes;2;1;0,922;0,07;0,03;0,02;1,031;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-89.lp;1;yes;0;1;0,876;0,03;0,03;0,00;0,906;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-9.lp;5;yes;4;1;9,083;8,24;0,03;5,50;27,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-90.lp;10;yes;6;1;3,689;2,81;0,03;0,35;10,297;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-91.lp;2;yes;0;1;0,880;0,04;0,03;0,00;0,859;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-92.lp;7;yes;2;1;0,932;0,07;0,03;0,02;1,047;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-93.lp;13;yes;2;1;0,921;0,09;0,03;0,03;1,078;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-94.lp;4;yes;2;1;0,971;0,11;0,03;0,01;1,203;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-95.lp;2;yes;0;1;0,979;0,04;0,04;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-96.lp;2;yes;0;1;0,920;0,04;0,03;0,00;1,000;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-97.lp;2;yes;0;1;0,911;0,04;0,03;0,00;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-98.lp;1;yes;0;1;0,925;0,04;0,04;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-99.lp;3;yes;0;1;0,940;0,04;0,03;0,00;1,000;4        (Winner: 4)
